show,hour,feed1,Loudness,LRA,Peak,driver,date
me,hour1,feed1,-29.2,7.4,-12.9,,02/11/2014
me,hour1,feed2,-29,7.3,-7.4,,02/11/2014
me,hour1,feed3,-29.2,6.6,-8.1,,02/11/2014
me,hour1,feed4,-28.9,6.9,-11.2,,02/11/2014
han,hour1,feed1,-29.7,7.2,-10.8,,02/11/2014
han,hour1,feed2,-28.9,7.1,-7.1,,02/11/2014
atc,hour1,feed1,-27.9,7.8,-5.9,Rushfield,02/11/2014
atc,hour1,feed2,-27.8,6.9,-6.8,Rushfield,02/11/2014
atc,hour1,feed3,-28,6.9,-8,Rushfield,02/11/2014
me,hour1,feed1,-28.1,6.5,-9,Jarboe,02/12/2014
me,hour1,feed2,-27.6,6.6,-7.9,Jarboe,02/12/2014
me,hour1,feed3,-28,6.3,-8.1,Jarboe,02/12/2014
me,hour1,feed4,-27.8,6.2,-10.2,Jarboe,02/12/2014
han,hour1,feed1,-30.1,6.8,-7.7,,02/12/2014
han,hour1,feed2,-28.6,7.7,-8.1,,02/12/2014
atc,hour1,feed1,-27.5,6.8,-7.2,Rushfield,02/12/2014
atc,hour1,feed2,-27.6,6.7,-8,Rushfield,02/12/2014
atc,hour1,feed3,-27.5,6.9,-9.6,Rushfield,02/12/2014
me,hour1,feed1,-28.9,6.3,-9.6,Jarboe,02/13/2014
me,hour1,feed2,-28.1,6.4,-7.4,Jarboe,02/13/2014
me,hour1,feed3,-28.1,6.1,-9.1,Jarboe,02/13/2014
me,hour1,feed4,-28.1,6,-12.3,Jarboe,02/13/2014
han,hour1,feed1,-31.7,9.7,-9.4,,02/13/2014
han,hour1,feed2,-28.6,8.4,-7.5,,02/13/2014
atc,hour1,feed1,-27.8,6.4,-8.1,Rushfield,02/13/2014
atc,hour1,feed2,-28,6.2,-10.4,Rushfield,02/13/2014
atc,hour1,feed3,-28.2,6.1,-9.3,Rushfield,02/13/2014
me,hour1,feed1,-28.5,6.6,-7,Jarboe,02/14/2014
me,hour1,feed2,-28.3,6.6,-6.2,Jarboe,02/14/2014
me,hour1,feed3,-28.2,6.5,-8.8,Jarboe,02/14/2014
me,hour1,feed4,-27.9,7,-8.9,Jarboe,02/14/2014
han,hour1,feed1,-30.7,7.9,-5.9,,02/14/2014
han,hour1,feed2,-29.6,7.9,-6.5,,02/14/2014
atc,hour1,feed1,-27.2,6.6,-6.8,Rushfield,02/14/2014
atc,hour1,feed2,-27.2,6.6,-11,Rushfield,02/14/2014
atc,hour1,feed3,-27.4,7.1,-7.5,Rushfield,02/14/2014
wesat,hour1,feed1,-28.6,7.2,-10.5,,02/15/2014
wesat,hour1,feed2,-28.9,8.1,-7.7,,02/15/2014
wesat,hour1,feed3,-28.9,8.9,-11.4,,02/15/2014
watc,hour1,feed1,-29.7,,,,02/15/2014
watc,hour1,feed3,-28.5,,,,02/15/2014
wesun,hour1,feed1,-28.1,7.6,-7.9,,02/16/2014
wesun,hour1,feed2,-28.3,8.1,-10.6,,02/16/2014
wesun,hour1,feed3,-27.7,,,,02/16/2014
watc,hour1,feed1,-27.3,,,,02/16/2014
watc,hour1,feed3,-27.8,,,,02/16/2014
me,hour1,feed1,-28.3,5.9,-4.6,Jarboe,02/17/2014
me,hour1,feed2,-28.2,6,-7.9,Jarboe,02/17/2014
me,hour1,feed3,-28,,,Jarboe,02/17/2014
me,hour1,feed4,-28,6,-9.8,Jarboe,02/17/2014
han,hour1,feed1,-30.8,,,,02/17/2014
han,hour1,feed2,-28,,,,02/17/2014
atc,hour1,feed1,-28.1,6.6,-7.2,,02/17/2014
atc,hour1,feed2,-27.6,7,-8.8,,02/17/2014
atc,hour1,feed3,-27.6,6.7,-3.5,,02/17/2014
me,hour1,feed1,-28.6,6,-8.2,Jarboe,02/18/2014
me,hour1,feed2,-28.3,6.1,-3.5,Jarboe,02/18/2014
me,hour1,feed3,-28.4,,,Jarboe,02/18/2014
me,hour1,feed4,-28.3,,,Jarboe,02/18/2014
han,hour1,feed1,-31.5,,,,02/18/2014
han,hour1,feed2,-28.8,,,,02/18/2014
atc,hour1,feed1,-28.3,,,Rushfield,02/18/2014
atc,hour1,feed2,-28,6.4,-7.5,Rushfield,02/18/2014
atc,hour1,feed3,-28,6.5,-11.5,Rushfield,02/18/2014
me,hour1,feed1,-28.3,6.8,-10.4,Jarboe,02/19/2014
me,hour1,feed2,-27.9,6.4,-9.7,Jarboe,02/19/2014
me,hour1,feed3,-28,6.4,-6.8,Jarboe,02/19/2014
me,hour1,feed4,-27.8,6.4,-8.8,Jarboe,02/19/2014
han,hour1,feed1,-30.8,,,,02/19/2014
han,hour1,feed2,-28,8,-12.6,,02/19/2014
atc,hour1,feed1,-27.9,6.4,-9.1,Rushfield,02/19/2014
atc,hour1,feed2,-27.7,6.7,-10.5,Rushfield,02/19/2014
atc,hour1,feed3,-27.8,6.7,-7.1,Rushfield,02/19/2014
me,hour1,feed1,-28.8,7,-10.5,Jarboe,02/20/2014
me,hour1,feed2,-28.3,6.1,-5.6,Jarboe,02/20/2014
me,hour1,feed3,-28.1,6.6,-7,Jarboe,02/20/2014
me,hour1,feed4,-27.8,6.8,-5.2,Jarboe,02/20/2014
han,hour1,feed1,-31.9,,,,02/20/2014
han,hour1,feed2,-28.1,,,,02/20/2014
atc,hour1,feed1,-28.1,,,Rushfield,02/20/2014
atc,hour1,feed2,-28.4,7.6,-8.4,Rushfield,02/20/2014
atc,hour1,feed3,-28,,,Rushfield,02/20/2014
me,hour1,feed1,-28.9,,,Jarboe,02/21/2014
me,hour1,feed2,-27.9,,,Jarboe,02/21/2014
me,hour1,feed3,-27.9,6.7,-7.5,Jarboe,02/21/2014
me,hour1,feed4,-28.2,,,Jarboe,02/21/2014
han,hour1,feed1,-32.1,,,,02/21/2014
han,hour1,feed2,-29,7.8,-6.7,,02/21/2014
atc,hour1,feed1,-27.6,6.6,-9.2,Rushfield,02/21/2014
atc,hour1,feed2,-27.4,,,Rushfield,02/21/2014
atc,hour1,feed3,-27.4,,,Rushfield,02/21/2014
wesat,hour1,feed1,-28.1,,,,02/22/2014
wesat,hour1,feed2,-28.2,,,,02/22/2014
wesat,hour1,feed3,-27.9,,,,02/22/2014
:30 - 7:30 3, Dry ,racks,-26.6,,,,da/y /Tues
5:30 - 18:30 3, Dry ,racks,-24.4,,,,da/y /Tues
 4:30 - 7:30 3, Dry ,racks,-24.4,,,,es/da/Wedn
 15:30 - 18:30 3, Dry ,racks,-23.7,,,,es/da/Wedn
4:30 - 7:30 3, Dry ,racks,-25.1,,,,sd/ay/Thur
15:30 - 18:30 3, Dry ,racks,-23.3,11.6,,,sd/ay/Thur
30 - 7:30 3, Dry ,racks,-24.3,,,,ay/ 4/Frid
:30 - 18:30 3, Dry ,racks,-23,,,,ay/ 1/Frid
7:30 - 10:30 3, Dry ,racks,-24.9,,,,rd/ay/Satu
16:30 - 18:30 3, Dry ,racks,-70,,,,rd/ay/Satu
30 - 10:30 3, Dry ,racks,-23.7,,,,ay/ 7/Sund
:30 - 18:30 3, Dry ,racks,-70,,,,ay/ 1/Sund
30 - 7:30 3, Dry ,racks,-25.4,11.5,,,ay/ 4/Mond
:30 - 18:30 3, Dry ,racks,-24.5,,,,ay/ 1/Mond
:30 - 7:30 3, Dry ,racks,-24.7,12.2,,,da/y /Tues
5:30 - 18:30 3, Dry ,racks,-24,,,,da/y /Tues
 4:30 - 7:30 3, Dry ,racks,-24.3,11.5,,,es/da/Wedn
 15:30 - 18:30 3, Dry ,racks,-23.1,,,,es/da/Wedn
4:30 - 7:30 3, Dry ,racks,-23.9,,,,sd/ay/Thur
15:30 - 18:30 3, Dry ,racks,-24.1,,,,sd/ay/Thur
30 - 7:30 3, Dry ,racks,-24.2,,,,ay/ 4/Frid
:30 - 18:30 3, Dry ,racks,-23.3,8.8,,,ay/ 1/Frid
7:30 - 10:30 3, Dry ,racks,-23.1,,,,rd/ay/Satu
atc,hour1,feed1,-29.6,6.9,-9.6,Ellena,08/05/2013
atc,hour2,feed1,-29.1,6.2,-5.8,Ellena,08/05/2013
atc,hour2,feed1,-28.8,,,Ellena,08/06/2013
atc,hour1,feed1,-29.4,,,Ellena,08/07/2013
atc,hour2,feed1,-29.2,,,Ellena,08/07/2013
atc,hour1,feed1,-28.9,,,Ellena,08/08/2013
atc,hour2,feed1,-29.3,,,Ellena,08/08/2013
atc,hour1,feed1,-28.6,,,Ellena,08/19/2013
atc,hour2,feed1,-29.1,,,Ellena,08/19/2013
me,hour1,feed1,-28.9,,,Stalnaker,08/19/2013
atc,hour2,feed1,-29.2,,,Ellena,08/20/2013
me,hour1,feed1,-29.2,,,Stalnaker,08/20/2013
me,hour2,feed1,-29.2,,,Stalnaker,08/20/2013
atc,hour1,feed1,-28.8,,,Ellena,08/21/2013
atc,hour2,feed1,-28.9,6.2,-5.7,Ellena,08/21/2013
me,hour1,feed1,-29.1,,,Stalnaker,08/21/2013
me,hour2,feed1,-28.7,,,Stalnaker,08/21/2013
atc,hour1,feed1,-28.6,6.5,-8.9,Ellena,08/22/2013
atc,hour2,feed1,-28.9,6.4,-7.2,Ellena,08/22/2013
me,hour1,feed1,-29.9,,,Stalnaker,08/22/2013
me,hour2,feed1,-28.9,,,Stalnaker,08/22/2013
atc,hour1,feed1,-29,,,Ellena,08/23/2013
atc,hour2,feed1,-28.9,7.7,-8.6,Ellena,08/23/2013
me,hour2,feed1,-28.7,,,Stalnaker,08/23/2013
me,hour1,feed1,-29.9,,,Abbott,08/26/2013
me,hour2,feed1,-30.2,,,Abbott,08/26/2013
me,hour1,feed1,-31,,,Abbott,08/27/2013
me,hour2,feed1,-30,,,Abbott,08/27/2013
me,hour1,feed1,-29.8,8.1,-2,Abbott,08/28/2013
me,hour2,feed1,-30,,,Abbott,08/28/2013
me,hour1,feed1,-30.4,7.9,-8.5,Abbott,08/29/2013
me,hour2,feed1,-29.1,,,Abbott,08/29/2013
me,hour1,feed1,-30.3,,,Abbott,08/30/2013
me,hour2,feed1,-29.5,8.3,-5.3,Abbott,08/30/2013
atc,hour1,feed1,-26.8,,,Huether,09/30/2013
atc,hour2,feed1,-27.3,,,Huether,09/30/2013
atc,hour1,feed1,-26.9,,,Huether,10/01/2013
atc,hour2,feed1,-27.5,,,Huether,10/01/2013
atc,hour1,feed1,-27.2,,,Huether,10/02/2013
atc,hour2,feed1,-27.5,,,Huether,10/02/2013
atc,hour1,feed1,-27.7,,,Huether,10/03/2013
atc,hour2,feed1,-27.5,,,Huether,10/03/2013
atc,hour1,feed1,-26.6,,,Huether,10/04/2013
atc,hour2,feed1,-27.9,,,Huether,10/04/2013
me,hour1,feed1,-29.6,,,,10/28/2013
me,hour2,feed1,-29.7,7.3,-7.6,,10/28/2013
me,hour1,feed1,-30.4,,,,10/29/2013
me,hour2,feed1,-29.6,,,,10/29/2013
tmm,hour1,feed1,-28.4,,,Marquis,10/29/2013
me,hour2,feed1,-29.2,,,,10/30/2013
tmm,hour1,feed1,-29.1,,,Marquis,10/30/2013
me,hour1,feed1,-30,,,,10/31/2013
me,hour2,feed1,-29.3,,,,10/31/2013
tmm,hour1,feed1,-29.5,,,Marquis,10/31/2013
me,hour1,feed1,-28.5,6.3,-7.3,Coleman,11/13/2013
me,hour2,feed1,-28.6,,,Coleman,11/13/2013
me,hour1,feed1,-29.7,,,Coleman,11/14/2013
me,hour2,feed1,-29.4,6.3,-7.7,Coleman,11/14/2013
tmm,hour1,feed1,-30.2,,,Coleman,11/20/2013
tmm,hour1,feed1,-28.8,,,Coleman,11/21/2013
tmm,hour1,feed1,-28,,,Coleman,11/22/2013
tmm,hour1,feed1,-29.1,,,Marquis,12/02/2013
tmm,hour1,feed1,-27.1,,,Marquis,12/03/2013
tmm,hour1,feed1,-25.9,,,Marquis,12/04/2013
tmm,hour1,feed1,-29.9,8.3,-5.8,Coleman,12/09/2013
tmm,hour1,feed1,-29.9,,,Coleman,12/10/2013
tmm,hour1,feed1,-27.9,,,Coleman,12/12/2013
tmm,hour1,feed1,-26.5,,,Marquis,12/16/2013
tmm,hour1,feed1,-26.1,,,Marquis,12/17/2013
atc,hour1,feed1,-28,,,Abbott,12/18/2013
atc,hour2,feed1,-28.5,7.1,-4.4,Abbott,12/18/2013
tmm,hour1,feed1,-25.9,,,Marquis,12/18/2013
atc,hour1,feed1,-28.3,,,Abbott,12/19/2013
atc,hour2,feed1,-28.3,7.2,-6.5,Abbott,12/19/2013
atc,hour1,feed1,-29.2,,,Abbott,12/20/2013
atc,hour2,feed1,-28.9,,,Abbott,12/20/2013
atc,hour1,feed1,-27.1,,,Huether,12/23/2013
atc,hour2,feed1,-27.3,,,Huether,12/23/2013
atc,hour1,feed1,-27.5,,,Huether,12/24/2013
atc,hour2,feed1,-27.5,,,Huether,12/24/2013
tmm,hour1,feed1,-30.5,,,Stalnaker,01/27/2014
tmm,hour1,feed1,-30.5,,,Stalnaker,01/28/2014
tmm,hour1,feed1,-27.9,,,Stalnaker,01/29/2014
tmm,hour1,feed1,-30.2,,,Stalnaker,01/31/2014
atc,hour1,feed1,-29.7,,,Murray,02/01/2014
wesat,hour1,feed1,-29.2,,,,02/01/2014
wesat,hour2,feed1,-28.3,,,,02/01/2014
atc,hour1,feed1,-26.8,,,Murray,02/02/2014
wesun,hour1,feed1,-28.6,,,,02/02/2014
wesun,hour2,feed1,-29.3,,,,02/02/2014
atc,hour1,feed1,-28.2,,,Murray,02/08/2014
wesat,hour1,feed1,-29.2,,,,02/08/2014
wesat,hour2,feed1,-28.5,,,,02/08/2014
atc,hour1,feed1,-26.6,,,Murray,02/09/2014
wesun,hour1,feed1,-29.2,,,,02/09/2014
wesun,hour2,feed1,-29.2,,,,02/09/2014
tmm,hour1,feed1,-29.9,,,Stalnaker,02/11/2014
tmm,hour1,feed1,-30.8,,,Stalnaker,02/12/2014
tmm,hour1,feed1,-30.2,,,Stalnaker,02/13/2014
